District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
12,23,1,5,35866,19258,16608,22526,18458,4068,1200,160,1040,12140,640,11500,110,20,90
12,23,1,6,50163,27013,23150,31257,25703,5554,1630,190,1440,17276,1120,16156,100,10,90
12,23,1,7,31456,16774,14682,17021,14189,2832,850,60,790,13585,2525,11060,140,80,60
12,23,1,8,22019,11430,10589,6990,6030,960,380,60,320,14649,5340,9309,100,60,40
12,23,1,9,8840,4740,4100,1400,1240,160,50,10,40,7390,3490,3900,30,20,10
12,23,1,10,4230,2180,2050,310,290,20,70,40,30,3850,1850,2000,20,20,0
13,26,0,0,565695,296193,269502,30380,15960,14420,11740,1850,9890,523575,278383,245192,1300,770,530
13,26,0,1,186020,109280,76740,82780,54870,27910,15200,1770,13430,88040,52640,35400,1910,1520,390
13,26,0,2,194697,97440,97257,128187,80350,47837,19910,1240,18670,46600,15850,30750,2170,1750,420
13,26,0,3,178328,85780,92548,130958,82090,48868,18190,540,17650,29180,3150,26030,720,540,180
13,26,0,4,158682,78710,79972,123490,77490,46000,14972,300,14672,20220,920,19300,270,160,110
13,26,0,5,141720,72450,69270,112270,71620,40650,12940,200,12740,16510,630,15880,120,40,80
13,26,0,6,224354,115400,108954,176740,113876,62864,20484,264,20220,27130,1260,25870,220,60,160
13,26,0,7,161246,83920,77326,115293,79770,35523,14400,370,14030,31553,3780,27773,60,10,50
13,26,0,8,116080,60470,55610,55420,42680,12740,6910,760,6150,53750,17030,36720,140,60,80
13,26,0,9,51182,26482,24700,11462,9912,1550,1760,300,1460,37960,16270,21690,80,40,40
13,26,0,10,19810,9640,10170,1640,1410,230,320,110,210,17850,8120,9730,40,20,20
